City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lebu,CL,2020-03-02 20:12:39,-37.62,-73.65,73.4,40,0,6.73
70,Mataura,NZ,2020-03-02 20:12:23,-46.19,168.86,55.99,90,100,11.99
71,Port Alfred,ZA,2020-03-02 20:12:36,-33.59,26.89,69.01,94,7,6.46
72,Butaritari,KI,2020-03-02 20:12:39,3.07,172.79,82.58,78,100,22.59
73,Paamiut,GL,2020-03-02 20:12:39,61.99,-49.67,-3.6,62,0,14.56
74,Codrington,AU,2020-03-02 20:12:39,-38.27,141.97,58.68,75,100,15.37
75,Laguna,US,2020-03-02 20:12:40,38.42,-121.42,70.0,16,1,17.22
76,Inverell,AU,2020-03-02 20:12:40,-29.78,151.12,64.99,86,100,4.32
77,Port Elizabeth,ZA,2020-03-02 20:12:40,-33.92,25.57,68.0,94,75,3.36
78,Ushuaia,AR,2020-03-02 20:09:40,-54.8,-68.3,59.0,50,40,4.7
79,Katangli,RU,2020-03-02 20:12:41,51.71,143.23,-0.51,99,100,0.49
80,Carutapera,BR,2020-03-02 20:12:41,-1.2,-46.02,82.22,78,100,14.18
81,Jieshi,CN,2020-03-02 20:12:41,22.81,115.83,61.34,74,100,8.23
82,Bluff,NZ,2020-03-02 20:12:27,-46.6,168.33,55.99,90,100,11.99
83,Rikitea,PF,2020-03-02 20:12:36,-23.12,-134.97,80.17,79,100,17.52
84,Griffith,US,2020-03-02 20:11:12,41.53,-87.42,52.0,48,1,2.44
85,Bathsheba,BB,2020-03-02 20:12:42,13.22,-59.52,75.2,69,75,19.46
86,Punta Arenas,CL,2020-03-02 20:12:26,-53.15,-70.92,62.6,63,75,25.28
87,Bandundu,CD,2020-03-02 20:12:43,-3.32,17.37,71.26,92,66,5.06
88,Ifanadiana,MG,2020-03-02 20:12:43,-21.3,47.63,64.98,99,96,3.85
89,Kutum,SD,2020-03-02 20:12:44,14.2,24.67,62.17,18,7,4.7
90,Namatanai,PG,2020-03-02 20:12:44,-3.67,152.43,84.94,69,8,3.13
91,Fairbanks,US,2020-03-02 20:10:20,64.84,-147.72,-0.99,76,75,5.82
92,Sistranda,NO,2020-03-02 20:12:44,63.73,8.83,30.0,68,100,21.92
93,Lagoa,PT,2020-03-02 20:12:44,39.05,-27.98,62.96,84,100,24.36
94,Hamilton,US,2020-03-02 20:12:45,39.18,-84.53,52.0,87,90,4.7
95,Caranavi,BO,2020-03-02 20:12:45,-15.82,-67.55,70.84,66,97,1.66
